Commit	Ref Type	Entity before	Entity after	RefDiff	Details
https://github.com/icse18-refactorings/Android-IMSI-Catcher-Detector/commit/e235f884f2e0bc258da77b9c80492ad33386fa86	Extract Method	com.SecUpwN.AIMSICD.adapters.AIMSICDDbAdapter.DbHelper.onCreate(SQLiteDatabase)	com.SecUpwN.AIMSICD.adapters.AIMSICDDbAdapter.DbHelper.createSilentSmsTable(SQLiteDatabase)	TP	
https://github.com/icse18-refactorings/intellij-community/commit/138911ce88b05039242b8d1b2bb5b7a59008f5ee	Extract Method	com.intellij.util.ui.UIUtil.getHTMLEditorKit()	com.intellij.util.ui.UIUtil.getHTMLEditorKit(boolean)	TP	
https://github.com/icse18-refactorings/intellij-community/commit/04397f41107bd6de41b31d45a4e8e2ed65628bbe	Inline Method	com.intellij.testIntegration.createTest.CreateTestAction.checkForTestRoots(Module,Set,Set)	com.intellij.testIntegration.createTest.CreateTestAction.checkForTestRoots(Module,Set)	TP	
https://github.com/icse18-refactorings/intellij-community/commit/cc0eaf7faa408a04b68e2b5820f3ebcc75420b5b	Extract Method	com.siyeh.ig.migration.UnnecessaryBoxingInspection.UnnecessaryBoxingVisitor.canBeUnboxed(PsiExpression)	com.siyeh.ig.migration.UnnecessaryBoxingInspection.UnnecessaryBoxingVisitor.canBinaryExpressionBeUnboxed(PsiExpression,PsiExpression)	TP	
https://github.com/icse18-refactorings/sonarqube/commit/c55a8c3761e9aae9f375d312c14b1bbb9ee9c0fa	Move Method	org.sonar.server.computation.step.PersistComponentsStep.createComponentDto(Component,Component)	org.sonar.server.computation.step.PersistComponentsStep.PersisComponent.createComponentDto(Component,Component)	TP	
https://github.com/icse18-refactorings/BroadleafCommerce/commit/4ef35268bb96bb78b2dc698fa68e7ce763cde32e	Pull Up Method	org.broadleafcommerce.openadmin.dto.BasicFieldMetadata.getColumn()	org.broadleafcommerce.openadmin.dto.FieldMetadata.getColumn()	TP	
https://github.com/icse18-refactorings/BroadleafCommerce/commit/4ef35268bb96bb78b2dc698fa68e7ce763cde32e	Pull Up Method	org.broadleafcommerce.openadmin.dto.BasicFieldMetadata.setColumn(Integer)	org.broadleafcommerce.openadmin.dto.FieldMetadata.setColumn(Integer)	TP	
https://github.com/icse18-refactorings/java-driver/commit/1edac0e92080e7c5e971b2d56c8753bf44ea8a6c	Extract Method	com.datastax.driver.core.PoolingOptions.getMaxSimultaneousRequestsPerHostThreshold(HostDistance)	com.datastax.driver.core.PoolingOptions.getMaxRequestsPerConnection(HostDistance)	TP	
https://github.com/icse18-refactorings/java-driver/commit/1edac0e92080e7c5e971b2d56c8753bf44ea8a6c	Extract Method	com.datastax.driver.core.PoolingOptions.getMaxSimultaneousRequestsPerConnectionThreshold(HostDistance)	com.datastax.driver.core.PoolingOptions.getNewConnectionThreshold(HostDistance)	TP	
https://github.com/icse18-refactorings/java-driver/commit/1edac0e92080e7c5e971b2d56c8753bf44ea8a6c	Extract Method	com.datastax.driver.core.PoolingOptions.setMaxSimultaneousRequestsPerHostThreshold(HostDistance,int)	com.datastax.driver.core.PoolingOptions.setMaxRequestsPerConnection(HostDistance,int)	TP	
